method,byz_ratio,seed,n_byz,byz_ids,asr,fpr,balanced_accuracy,accuracy,precision,recall,f1,tn,fp,fn,tp,elapsed_s
fedavg,0.2,1011,2,"[1, 8]",0.153397,0.197522,99.824541,0.99843,0.999822,0.998466,0.999144,5558,11,95,61836,175.7
cwtm,0.2,1011,2,"[1, 8]",0.164699,0.269348,99.782976,0.998267,0.999757,0.998353,0.999055,5554,15,102,61829,179.1
gm,0.2,1011,2,"[1, 8]",0.029065,0.359131,99.805902,0.999437,0.999677,0.999709,0.999693,5549,20,18,61913,181.0
trust_gm,0.2,1011,2,"[1, 8]",0.025835,0.915784,99.52919,0.999007,0.999177,0.999742,0.999459,5518,51,16,61915,181.9
bst_gm,0.2,1011,2,"[1, 8]",0.024221,0.430957,99.772411,0.999422,0.999613,0.999758,0.999685,5545,24,15,61916,178.2
fedavg,0.3,1011,3,"[1, 6, 8]",0.597439,6.805531,96.298515,0.988904,0.993881,0.994026,0.993953,5190,379,370,61561,178.8
cwtm,0.3,1011,3,"[1, 6, 8]",0.05167,9.265577,95.341376,0.991881,0.991733,0.999483,0.995593,5053,516,32,61899,179.6
gm,0.3,1011,3,"[1, 6, 8]",0.069432,0.448914,99.740827,0.998993,0.999596,0.999306,0.999451,5544,25,43,61888,180.7
trust_gm,0.3,1011,3,"[1, 6, 8]",0.024221,1.310828,99.332476,0.998696,0.998822,0.999758,0.99929,5496,73,15,61916,177.8
bst_gm,0.3,1011,3,"[1, 6, 8]",0.025835,0.915784,99.52919,0.999007,0.999177,0.999742,0.999459,5518,51,16,61915,181.3
fedavg,0.4,1011,4,"[0, 1, 6, 8]",3.684746,0.538696,97.888279,0.965748,0.999497,0.963153,0.980988,5539,30,2282,59649,179.7
cwtm,0.4,1011,4,"[0, 1, 6, 8]",1.976393,0.05387,98.984869,0.981822,0.999951,0.980236,0.989995,5566,3,1224,60707,183.5
gm,0.4,1011,4,"[0, 1, 6, 8]",0.406904,0.269348,99.661874,0.996044,0.999757,0.995931,0.99784,5554,15,252,61679,179.9
trust_gm,0.4,1011,4,"[0, 1, 6, 8]",0.050056,0.215479,99.867233,0.999363,0.999806,0.999499,0.999653,5557,12,31,61900,180.6
bst_gm,0.4,1011,4,"[0, 1, 6, 8]",0.032294,0.430957,99.768374,0.999348,0.999612,0.999677,0.999645,5545,24,20,61911,181.6
fedavg,0.0,1415,0,[],0.022606,0.430957,99.773219,0.999437,0.999613,0.999774,0.999693,5545,24,14,61917,178.3
cwtm,0.0,1415,0,[],0.022606,0.341174,99.81811,0.999511,0.999693,0.999774,0.999734,5550,19,14,61917,178.4
gm,0.0,1415,0,[],0.022606,0.448914,99.76424,0.999422,0.999596,0.999774,0.999685,5544,25,14,61917,179.9
